% PlotTitle: "Multiantenna Matching"
% X axis: "Frequency [GHz]"
% Y axis: "Efficiency and S parameters [dB]"
"Frequency [GHz]"	"S11"	"Efficiency 1"
0,84	-0,064614	-32,1052
0,844	-0,0655932	-31,7798
0,848	-0,0666113	-31,4265
0,852	-0,0676859	-31,0387
0,856	-0,0688482	-30,6116
0,86	-0,0701724	-30,145
0,864	-0,0716121	-29,6354
0,868	-0,0731962	-29,0848
0,872	-0,0749268	-28,497
0,876	-0,0768437	-27,8781
0,88	-0,0790381	-27,2372
0,884	-0,0814794	-26,5805
0,888	-0,0841908	-25,9149
0,892	-0,087188	-25,2479
0,896	-0,0904723	-24,5867
0,9	-0,0941215	-23,9394
0,904	-0,0981283	-23,3121
0,908	-0,102421	-22,7088
0,912	-0,106995	-22,1343
0,916	-0,111795	-21,5931
0,92	-0,116764	-21,0896
0,924	-0,121895	-20,6285
0,928	-0,127028	-20,2098
0,932	-0,132052	-19,8349
0,936	-0,136899	-19,5045
0,94	-0,141483	-19,2183
0,944	-0,145798	-18,9785
0,948	-0,149739	-18,78
0,952	-0,153291	-18,6205
0,956	-0,156424	-18,4969
0,96	-0,15917	-18,406
0,964	-0,161652	-18,3467
0,968	-0,163847	-18,3137
0,972	-0,165795	-18,3027
0,976	-0,167605	-18,3102
0,98	-0,169294	-18,3324
0,984	-0,170976	-18,3676
0,988	-0,172773	-18,4124
0,992	-0,174668	-18,4616
0,996	-0,176718	-18,5115
1	-0,179022	-18,5584
1,004	-0,181672	-18,5992
1,008	-0,184777	-18,6315
1,012	-0,188341	-18,6485
1,016	-0,19248	-18,6458
1,02	-0,197222	-18,6191
1,024	-0,20265	-18,5642
1,028	-0,209077	-18,4812
1,032	-0,21641	-18,3639
1,036	-0,224739	-18,2104
1,04	-0,234208	-18,0201
1,044	-0,244945	-17,7938
1,048	-0,257145	-17,5365
1,052	-0,270854	-17,2494
1,056	-0,286261	-16,9356
1,06	-0,303402	-16,599
1,064	-0,32242	-16,2441
1,068	-0,343636	-15,8772
1,072	-0,367276	-15,5018
1,076	-0,39343	-15,1186
1,08	-0,422405	-14,7292
1,084	-0,454753	-14,3347
1,088	-0,490898	-13,9361
1,092	-0,531563	-13,535
1,096	-0,577559	-13,1262
1,1	-0,630126	-12,7071
1,104	-0,69057	-12,2742
1,108	-0,760818	-11,8237
1,112	-0,843585	-11,3576
1,116	-0,942089	-10,8661
1,12	-1,0607	-10,3448
1,124	-1,20547	-9,78962
1,128	-1,3851	-9,19791
1,132	-1,61015	-8,57299
1,136	-1,89649	-7,9118
1,14	-2,26699	-7,21549
1,144	-2,75483	-6,49115
1,148	-3,40786	-5,75049
1,152	-4,29571	-5,01586
1,156	-5,52795	-4,31346
1,16	-7,29163	-3,67202
1,164	-9,93247	-3,12798
1,168	-14,2631	-2,71694
1,172	-22,6683	-2,46685
1,176	-19,9039	-2,38698
1,18	-13,1332	-2,46189
1,184	-9,52363	-2,66733
1,188	-7,25165	-2,97351
1,192	-5,69764	-3,34995
1,196	-4,5914	-3,76953
1,2	-3,76951	-4,21405
1,204	-3,14344	-4,67035
1,208	-2,65651	-5,12866
1,212	-2,27112	-5,58237
1,216	-1,96369	-6,02523
1,22	-1,71427	-6,4555
1,224	-1,50921	-6,87101
1,228	-1,33915	-7,26955
1,232	-1,19719	-7,64924
1,236	-1,07873	-8,00764
1,24	-0,97937	-8,34335
1,244	-0,895285	-8,65614
1,248	-0,824187	-8,94524
1,252	-0,763919	-9,2102
1,256	-0,71288	-9,45058
1,26	-0,669757	-9,6661
1,264	-0,633015	-9,85876
1,268	-0,601721	-10,0299
1,272	-0,57506	-10,1812
1,276	-0,552228	-10,3145
