% PlotTitle: "Multiantenna Matching"
% X axis: "Frequency [GHz]"
% Y axis: "Efficiency and S parameters [dB]"
"Frequency [GHz]"	"S11"	"Efficiency 1"
3,46	-0,223649	-14,2588
3,464	-0,21952	-14,3656
3,468	-0,215549	-14,4716
3,472	-0,211723	-14,5769
3,476	-0,208023	-14,6812
3,48	-0,204453	-14,7842
3,484	-0,20103	-14,8857
3,488	-0,197774	-14,985
3,492	-0,194675	-15,0817
3,496	-0,191745	-15,1751
3,5	-0,188993	-15,2648
3,504	-0,186429	-15,3501
3,508	-0,184054	-15,4307
3,512	-0,181868	-15,5063
3,516	-0,179907	-15,5769
3,52	-0,178115	-15,6425
3,524	-0,176475	-15,7035
3,528	-0,174969	-15,7604
3,532	-0,173569	-15,8141
3,536	-0,172263	-15,8651
3,54	-0,171011	-15,9147
3,544	-0,169783	-15,9637
3,548	-0,168555	-16,0131
3,552	-0,167305	-16,0639
3,556	-0,166013	-16,1166
3,56	-0,164686	-16,1719
3,564	-0,16334	-16,2298
3,568	-0,161945	-16,2906
3,572	-0,160511	-16,3536
3,576	-0,159054	-16,4185
3,58	-0,157596	-16,4841
3,584	-0,15617	-16,5495
3,588	-0,154809	-16,6132
3,592	-0,153534	-16,6739
3,596	-0,152371	-16,7301
3,6	-0,151343	-16,7806
3,604	-0,150469	-16,8242
3,608	-0,149787	-16,8602
3,612	-0,149309	-16,888
3,616	-0,149001	-16,9076
3,62	-0,148851	-16,9194
3,624	-0,14884	-16,9244
3,628	-0,148941	-16,9236
3,632	-0,149127	-16,9186
3,636	-0,149369	-16,9112
3,64	-0,149618	-16,9031
3,644	-0,149834	-16,8963
3,648	-0,149981	-16,8925
3,652	-0,15003	-16,8932
3,656	-0,149976	-16,8996
3,66	-0,149809	-16,9127
3,664	-0,14949	-16,9328
3,668	-0,149022	-16,96
3,672	-0,148418	-16,9938
3,676	-0,147702	-17,0333
3,68	-0,146903	-17,077
3,684	-0,146064	-17,1234
3,688	-0,145229	-17,1701
3,692	-0,144435	-17,215
3,696	-0,143731	-17,2558
3,7	-0,143153	-17,29
3,704	-0,142752	-17,3159
3,708	-0,142582	-17,3316
3,712	-0,142618	-17,3363
3,716	-0,14287	-17,3294
3,72	-0,143328	-17,3114
3,724	-0,143977	-17,2832
3,728	-0,144789	-17,2465
3,732	-0,145726	-17,2033
3,736	-0,146754	-17,1561
3,74	-0,147814	-17,1076
3,744	-0,148851	-17,0603
3,748	-0,149815	-17,0168
3,752	-0,150656	-16,9793
3,756	-0,151386	-16,9498
3,76	-0,151927	-16,9295
3,764	-0,152252	-16,9195
3,768	-0,152351	-16,9199
3,772	-0,15223	-16,9307
3,776	-0,151911	-16,951
3,78	-0,151427	-16,9793
3,784	-0,150826	-17,0136
3,788	-0,150158	-17,0515
3,792	-0,149478	-17,0903
3,796	-0,148847	-17,1269
3,8	-0,148327	-17,1581
3,804	-0,147994	-17,1811
3,808	-0,147909	-17,1932
3,812	-0,14807	-17,1926
3,816	-0,148502	-17,178
3,82	-0,149214	-17,1492
3,824	-0,150198	-17,1066
3,828	-0,151432	-17,0518
3,832	-0,152879	-16,987
3,836	-0,154499	-16,915
3,84	-0,156224	-16,8389
3,844	-0,15799	-16,7619
3,848	-0,159727	-16,6872
3,852	-0,161367	-16,6177
3,856	-0,162892	-16,5561
3,86	-0,164222	-16,5043
3,864	-0,165299	-16,4637
3,868	-0,166094	-16,4353
3,872	-0,166598	-16,4193
3,876	-0,166819	-16,4151
3,88	-0,166782	-16,4219
3,884	-0,166539	-16,4377
3,888	-0,166139	-16,4603
3,892	-0,16565	-16,4869
3,896	-0,165147	-16,5143
3,9	-0,164709	-16,539
3,904	-0,164414	-16,5576
3,908	-0,16439	-16,5668
3,912	-0,164651	-16,5637
3,916	-0,165237	-16,5463
3,92	-0,166182	-16,5131
3,924	-0,167498	-16,4641
3,928	-0,169181	-16,3999
3,932	-0,171207	-16,3223
3,936	-0,173535	-16,2338
3,94	-0,176097	-16,1374
3,944	-0,178821	-16,0366
3,948	-0,181624	-15,9348
3,952	-0,184418	-15,8354
3,956	-0,187116	-15,7415
3,96	-0,189691	-15,6557
3,964	-0,19203	-15,5799
3,968	-0,194067	-15,5156
3,972	-0,195769	-15,4635
3,976	-0,197118	-15,4237
3,98	-0,198125	-15,3957
3,984	-0,19883	-15,3782
3,988	-0,199281	-15,3693
3,992	-0,199548	-15,3665
3,996	-0,199717	-15,3672
4	-0,199885	-15,3679
