#GJM0335C0J270JB01,,
#In Production,,
#2026/06/21,,
#l,,
#DC0V 25degC,,
Frequency[Hz],Inductance[H],
4.069E9,2.072498566852359E-10,
4.09E9,2.0819515018219635E-10,
4.111E9,2.0913939963234265E-10,
4.132E9,2.1008310930713986E-10,
4.153E9,2.110268002296768E-10,
4.174E9,2.119710119122178E-10,
4.195E9,2.129163041986136E-10,
4.216E9,2.1386325921149475E-10,
4.237E9,2.1481248340072532E-10,
4.258E9,2.1576460968470607E-10,
4.279E9,2.1672029966926666E-10,
4.3E9,2.1768024591939336E-10,
4.321E9,2.1864517424595325E-10,
4.342E9,2.1961584595165833E-10,
4.363E9,2.2059305995602154E-10,
4.384E9,2.2157765468570448E-10,
4.405E9,2.225705095712309E-10,
4.426E9,2.2357254592925876E-10,
4.447E9,2.2458472692551557E-10,
4.468E9,2.256080561990131E-10,
4.489E9,2.2664357457209557E-10,
4.51E9,2.2769235405787658E-10,
4.531E9,2.2875548808551192E-10,
4.552E9,2.2983407646527263E-10,
4.573E9,2.3092920306922957E-10,
4.594E9,2.3204190345397308E-10,
4.615E9,2.3317311862298015E-10,
4.636E9,2.3432362971412903E-10,
4.657E9,2.354939664623975E-10,
4.678E9,2.3668427964338966E-10,
4.699E9,2.378941641111588E-10,
4.72E9,2.391224142108734E-10,
4.741E9,2.403666869453828E-10,
4.762E9,2.4162304000696014E-10,
4.783E9,2.428853015476107E-10,
4.804E9,2.441442168050823E-10,
4.825E9,2.453863051745992E-10,
4.846E9,2.465923544821107E-10,
4.867E9,2.477354868018331E-10,
4.888E9,2.4877877133258145E-10,
4.909E9,2.496724690364375E-10,
4.93E9,2.5035122617872503E-10,
4.951E9,2.507319631268816E-10,
4.972E9,2.507138919918513E-10,
4.993E9,2.501829938837223E-10,
5.014E9,2.490240325819799E-10,
5.035E9,2.471428370434259E-10,
5.056E9,2.4449864229328476E-10,
5.077E9,2.411396941216392E-10,
5.098E9,2.372270189207288E-10,
5.119E9,2.330280514923906E-10,
5.14E9,2.2887161927054769E-10,
5.161E9,2.2507709753423474E-10,
5.182E9,2.2188769232558215E-10,
5.203E9,2.1943494762820977E-10,
5.224E9,2.177414789166109E-10,
5.245E9,2.1674952827818067E-10,
5.266E9,2.1635685988802313E-10,
5.287E9,2.1644687067177915E-10,
5.308E9,2.16908110868861E-10,
5.329E9,2.1764408148405033E-10,
5.35E9,2.1857630934241164E-10,
5.371E9,2.1964364131870765E-10,
5.392E9,2.2079985290585016E-10,
5.413E9,2.2201080518069392E-10,
5.434E9,2.232517648243266E-10,
5.455E9,2.2450512983067856E-10,
5.476E9,2.25758608812402E-10,
5.497E9,2.2700381422154901E-10,
5.518E9,2.2823519969528538E-10,
5.539E9,2.2944926915986507E-10,
5.56E9,2.3064399400576644E-10,
5.581E9,2.3181838651387504E-10,
5.602E9,2.329721891799266E-10,
5.623E9,2.34105649334286E-10,
5.644E9,2.3521935622670545E-10,
5.665E9,2.3631412371807034E-10,
5.686E9,2.3739090620899187E-10,
